"Name","Team","POS","Salary","Years","Total Value","Avg Annual","year"
"Aaron Judge","NYY","OF","$622,300","1 (2018)","$622,300","$622,300",2011
"Brandon Drury","NYY","3B","$621,900","1 (2018)","$621,900","$621,900",2011
"Andrew Benintendi","BOS","OF","$620,500","1 (2018)","$620,500","$620,500",2011
"Gary Sanchez","NYY","C","$620,400","1 (2018)","$620,400","$620,400",2011
"Ronald Torreyes","NYY","SS","$615,500","1 (2018)","$615,500","$615,500",2011
"Mike Montgomery","CHC","RP","$611,250","1 (2018)","$611,250","$611,250",2011
"Dan Winkler","ATL","RP","$610,000","1 (2018)","$610,000","$610,000",2011
"Zac Rosscup","COL","RP","$610,000","1 (2018)","$610,000","$610,000",2011
"Michael Conforto","NYM","OF","$605,094","1 (2018)","$605,094","$605,094",2011
"Corey Seager","LAD","SS","$605,000","1 (2018)","$605,000","$605,000",2011
"Matt Barnes","BOS","RP","$605,000","1 (2018)","$605,000","$605,000",2011
"Luis Severino","NYY","SP","$604,975","1 (2018)","$604,975","$604,975",2011
"Kyle Schwarber","CHC","OF","$604,500","1 (2018)","$604,500","$604,500",2011
"Willson Contreras","CHC","C","$604,500","1 (2018)","$604,500","$604,500",2011
"Eddie Rosario","MIN","OF","$602,500","1 (2018)","$602,500","$602,500",2011
"Miguel Sano","MIN","3B","$602,500","1 (2018)","$602,500","$602,500",2011
"Pedro Florimon","PHI","OF","$600,000","1 (2018)","$600,000","$600,000",2011
"Juan Centeno","TEX","C","$600,000","1 (2018)","$600,000","$600,000",2011
"Chris Devenski","HOU","RP","$599,200","1 (2018)","$599,200","$599,200",2011
"Alex Bregman","HOU","3B","$599,000","1 (2018)","$599,000","$599,000",2011
"Carl Edwards Jr.","CHC","RP","$594,000","1 (2018)","$594,000","$594,000",2011
"Max Kepler","MIN","OF","$587,500","1 (2018)","$587,500","$587,500",2011
"Cody Bellinger","LAD","1B","$585,000","1 (2018)","$585,000","$585,000",2011
"Ryan LaMarre","MIN","OF","$585,000","1 (2018)","$585,000","$585,000",2011
"Albert Almora Jr.","CHC","OF","$584,500","1 (2018)","$584,500","$584,500",2011
"Hector Neris","PHI","RP","$582,500","1 (2018)","$582,500","$582,500",2011
"Greg Bird","NYY","1B","$582,000","1 (2018)","$582,000","$582,000",2011
"Archie Bradley","ARI","RP","$581,900","1 (2018)","$581,900","$581,900",2011
"Heath Hembree","BOS","RP","$581,500","1 (2018)","$581,500","$581,500",2011
"Jordan Montgomery","NYY","SP","$580,450","1 (2018)","$580,450","$580,450",2011
"Raffy Lopez","SD","C","$580,000","1 (2018)","$580,000","$580,000",2011
"Scott Schebler","CIN","OF","$580,000","1 (2018)","$580,000","$580,000",2011
"Byron Buxton","MIN","OF","$580,000","1 (2018)","$580,000","$580,000",2011
"Zack Godley","ARI","SP","$579,200","1 (2018)","$579,200","$579,200",2011
"Brandon Finnegan","CIN","SP","$577,500","1 (2018)","$577,500","$577,500",2011
"Trea Turner","WSH","SS","$577,200","1 (2018)","$577,200","$577,200",2011
"Steven Matz","NYM","SP","$577,000","1 (2018)","$577,000","$577,000",2011
"Michael Feliz","PIT","RP","$575,500","1 (2018)","$575,500","$575,500",2011
"Michael Fulmer","DET","SP","$575,200","1 (2018)","$575,200","$575,200",2011
"Charlie Culberson","ATL","SS","$575,000","1 (2018)","$575,000","$575,000",2011
"Chris Stewart","ATL","C","$575,000","1 (2018)","$575,000","$575,000",2011
"Lane Adams","ATL","OF","$575,000","1 (2018)","$575,000","$575,000",2011
"Peter Moylan","ATL","RP","$575,000","1 (2018)","$575,000","$575,000",2011
"Chris Taylor","LAD","OF","$575,000","1 (2018)","$575,000","$575,000",2011
"Jose Urena","MIA","SP","$575,000","1 (2018)","$575,000","$575,000",2011
"Jorge Polanco","MIN","SS","$575,000","1 (2018)","$575,000","$575,000",2011
"Ryan Tepera","TOR","RP","$574,700","1 (2018)","$574,700","$574,700",2011
"Jesse Hahn","KC","SP","$574,000","1 (2018)","$574,000","$574,000",2011
"Brian Flynn","KC","RP","$573,500","1 (2018)","$573,500","$573,500",2011
"Cheslor Cuthbert","KC","3B","$573,500","1 (2018)","$573,500","$573,500",2011
"Aaron Nola","PHI","SP","$573,000","1 (2018)","$573,000","$573,000",2011
"Josh Bell","PIT","1B","$572,500","1 (2018)","$572,500","$572,500",2011
"Domingo Santana","MIL","OF","$572,400","1 (2018)","$572,400","$572,400",2011
"Zach Davies","MIL","SP","$572,000","1 (2018)","$572,000","$572,000",2011
"Adam Frazier","PIT","OF","$571,000","1 (2018)","$571,000","$571,000",2011
"Jameson Taillon","PIT","SP","$571,000","1 (2018)","$571,000","$571,000",2011
"Joe Musgrove","PIT","SP","$571,000","1 (2018)","$571,000","$571,000",2011
"Edwin Diaz","SEA","RP","$570,800","1 (2018)","$570,800","$570,800",2011
"Chad Green","NYY","RP","$570,800","1 (2018)","$570,800","$570,800",2011
"Eddie Butler","CHC","RP","$570,750","1 (2018)","$570,750","$570,750",2011
"Chad Kuhl","PIT","SP","$570,500","1 (2018)","$570,500","$570,500",2011
"Josh Smoker","PIT","RP","$570,500","1 (2018)","$570,500","$570,500",2011
"Tommy Pham","STL","OF","$570,100","1 (2018)","$570,100","$570,100",2011
"Ian Happ","CHC","OF","$570,000","1 (2018)","$570,000","$570,000",2011
"Jose Peraza","CIN","SS","$570,000","1 (2018)","$570,000","$570,000",2011
"Jose Berrios","MIN","SP","$570,000","1 (2018)","$570,000","$570,000",2011
"Matt Davidson","CWS","DH","$570,000","1 (2018)","$570,000","$570,000",2011
"Greg Garcia","STL","3B","$569,600","1 (2018)","$569,600","$569,600",2011
"Trevor Williams","PIT","SP","$569,500","1 (2018)","$569,500","$569,500",2011
"Whit Merrifield","KC","2B","$569,500","1 (2018)","$569,500","$569,500",2011
"Paulo Orlando","KC","OF","$568,500","1 (2018)","$568,500","$568,500",2011
"Alex Claudio","TEX","RP","$568,450","1 (2018)","$568,450","$568,450",2011
"Jerad Eickhoff","PHI","SP","$568,000","1 (2018)","$568,000","$568,000",2011
"Joe Ross","WSH","SP","$567,900","1 (2018)","$567,900","$567,900",2011
"James Hoyt","HOU","RP","$567,700","1 (2018)","$567,700","$567,700",2011
"Travis Shaw","MIL","3B","$567,400","1 (2018)","$567,400","$567,400",2011
"A.J. Schugel","PIT","RP","$567,000","1 (2018)","$567,000","$567,000",2011
"Luis Perdomo","SD","SP","$566,800","1 (2018)","$566,800","$566,800",2011
"Mychal Givens","BAL","RP","$566,500","1 (2018)","$566,500","$566,500",2011
"Matt Bowman","STL","RP","$565,900","1 (2018)","$565,900","$565,900",2011
"Dansby Swanson","ATL","SS","$565,000","1 (2018)","$565,000","$565,000",2011
"Jose Ramirez","ATL","RP","$565,000","1 (2018)","$565,000","$565,000",2011
"Preston Tucker","ATL","OF","$565,000","1 (2018)","$565,000","$565,000",2011
"Ty Blach","SF","SP","$565,000","1 (2018)","$565,000","$565,000",2011
"Enny Romero","WSH","RP","$565,000","1 (2018)","$565,000","$565,000",2011
"Taylor Rogers","MIN","RP","$565,000","1 (2018)","$565,000","$565,000",2011
"Tyler Saladino","CWS","3B","$565,000","1 (2018)","$565,000","$565,000",2011
"Tyler Naquin","CLE","OF","$564,800","1 (2018)","$564,800","$564,800",2011
"Rafael Devers","BOS","3B","$564,500","1 (2018)","$564,500","$564,500",2011
"Seth Lugo","NYM","SP","$564,000","1 (2018)","$564,000","$564,000",2011
"Nomar Mazara","TEX","OF","$563,560","1 (2018)","$563,560","$563,560",2011
"Blake Swihart","BOS","C","$563,500","1 (2018)","$563,500","$563,500",2011
"Robert Gsellman","NYM","RP","$562,375","1 (2018)","$562,375","$562,375",2011
"Matthew Boyd","DET","SP","$562,000","1 (2018)","$562,000","$562,000",2011
"Jorge Bonifacio","KC","OF","$561,900","1 (2018)","$561,900","$561,900",2011
"Danny Barnes","TOR","RP","$561,600","1 (2018)","$561,600","$561,600",2011
"Deven Marrero","ARI","SS","$561,500","1 (2018)","$561,500","$561,500",2011
"Gorkys Hernandez","SF","OF","$561,500","1 (2018)","$561,500","$561,500",2011
"Nick Goody","CLE","RP","$561,500","1 (2018)","$561,500","$561,500",2011
"Delino DeShields","TEX","OF","$561,500","1 (2018)","$561,500","$561,500",2011
"Daniel Norris","DET","SP","$561,400","1 (2018)","$561,400","$561,400",2011
"Aaron Altherr","PHI","OF","$561,000","1 (2018)","$561,000","$561,000",2011
"Jose Martinez","STL","OF","$560,400","1 (2018)","$560,400","$560,400",2011
"Mikie Mahtook","DET","OF","$560,400","1 (2018)","$560,400","$560,400",2011
"Sammy Solis","WSH","RP","$560,300","1 (2018)","$560,300","$560,300",2011
"Mitch Haniger","SEA","OF","$560,200","1 (2018)","$560,200","$560,200",2011
"Manny Pina","MIL","C","$560,100","1 (2018)","$560,100","$560,100",2011
"Kelby Tomlinson","SF","2B","$560,000","1 (2018)","$560,000","$560,000",2011
"Yadiel Rivera","MIA","3B","$560,000","1 (2018)","$560,000","$560,000",2011
"Adam Morgan","PHI","RP","$560,000","1 (2018)","$560,000","$560,000",2011
"Joey Gallo","TEX","1B","$560,000","1 (2018)","$560,000","$560,000",2011
"Kevan Smith","CWS","C","$560,000","1 (2018)","$560,000","$560,000",2011
"Omar Narvaez","CWS","C","$560,000","1 (2018)","$560,000","$560,000",2011
"Orlando Arcia","MIL","SS","$559,600","1 (2018)","$559,600","$559,600",2011
"Ryon Healy","SEA","1B","$559,200","1 (2018)","$559,200","$559,200",2011
"Clint Frazier","NYY","OF","$559,200","1 (2018)","$559,200","$559,200",2011
"Jefry Marte","LAA","1B","$559,000","1 (2018)","$559,000","$559,000",2011
"Vince Velasquez","PHI","SP","$559,000","1 (2018)","$559,000","$559,000",2011
"Elias Diaz","PIT","C","$559,000","1 (2018)","$559,000","$559,000",2011
"Jacob Barnes","MIL","RP","$558,900","1 (2018)","$558,900","$558,900",2011
"Tyler Austin","NYY","1B","$558,600","1 (2018)","$558,600","$558,600",2011
"Mike Clevinger","CLE","SP","$558,500","1 (2018)","$558,500","$558,500",2011
"Luke Maile","TOR","C","$558,400","1 (2018)","$558,400","$558,400",2011
"Matt Andriese","TB","RP","$558,400","1 (2018)","$558,400","$558,400",2011
"Blake Snell","TB","SP","$558,200","1 (2018)","$558,200","$558,200",2011
"Ben Gamel","SEA","OF","$558,100","1 (2018)","$558,100","$558,100",2011
"Rafael Montero","NYM","RP","$558,025","1 (2018)","$558,025","$558,025",2011
"John Ryan Murphy","ARI","C","$558,000","1 (2018)","$558,000","$558,000",2011
"Josh Osich","SF","RP","$558,000","1 (2018)","$558,000","$558,000",2011
"Gregory Infante","CWS","RP","$558,000","1 (2018)","$558,000","$558,000",2011
"Juan Minaya","CWS","RP","$558,000","1 (2018)","$558,000","$558,000",2011
"Wilmer Difo","WSH","2B","$557,900","1 (2018)","$557,900","$557,900",2011
"Dovydas Neverauskas","PIT","RP","$557,500","1 (2018)","$557,500","$557,500",2011
"Wandy Peralta","CIN","RP","$557,500","1 (2018)","$557,500","$557,500",2011
"Kevin Plawecki","NYM","C","$557,471","1 (2018)","$557,471","$557,471",2011
"Jesus Aguilar","MIL","1B","$557,200","1 (2018)","$557,200","$557,200",2011
"Max Stassi","HOU","C","$557,100","1 (2018)","$557,100","$557,100",2011
"Matt Grace","WSH","RP","$557,000","1 (2018)","$557,000","$557,000",2011
"Steven Brault","PIT","RP","$557,000","1 (2018)","$557,000","$557,000",2011
"Manuel Margot","SD","OF","$556,900","1 (2018)","$556,900","$556,900",2011
"Brent Suter","MIL","SP","$556,500","1 (2018)","$556,500","$556,500",2011
"Josh Hader","MIL","RP","$556,500","1 (2018)","$556,500","$556,500",2011
"Trey Mancini","BAL","OF","$556,500","1 (2018)","$556,500","$556,500",2011
"Edgar Santana","PIT","RP","$556,500","1 (2018)","$556,500","$556,500",2011
"Tyler Glasnow","PIT","RP","$556,500","1 (2018)","$556,500","$556,500",2011
"Jandel Gustave","HOU","RP","$556,400","1 (2018)","$556,400","$556,400",2011
"Jose Pirela","SD","OF","$556,200","1 (2018)","$556,200","$556,200",2011
"Richard Bleier","BAL","RP","$556,000","1 (2018)","$556,000","$556,000",2011
"Brandon Nimmo","NYM","OF","$555,968","1 (2018)","$555,968","$555,968",2011
"Matt Bush","TEX","RP","$555,950","1 (2018)","$555,950","$555,950",2011
"Dinelson Lamet","SD","SP","$555,700","1 (2018)","$555,700","$555,700",2011
"Colin Rea","SD","SP","$555,600","1 (2018)","$555,600","$555,600",2011
"A.J. Cole","WSH","SP","$555,300","1 (2018)","$555,300","$555,300",2011
"Ryan Buchter","OAK","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Ryan Dull","OAK","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"A.J. Minter","ATL","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Johan Camargo","ATL","3B","$555,000","1 (2018)","$555,000","$555,000",2011
"Luiz Gohara","ATL","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Ozzie Albies","ATL","2B","$555,000","1 (2018)","$555,000","$555,000",2011
"Sean Newcomb","ATL","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Shane Carle","ATL","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Austin Barnes","LAD","C","$555,000","1 (2018)","$555,000","$555,000",2011
"Ross Stripling","LAD","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Scott Alexander","LAD","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Jarlin Garcia","MIA","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Phillip Evans","NYM","3B","$555,000","1 (2018)","$555,000","$555,000",2011
"Trevor Gott","WSH","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Jake Faria","TB","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Luis Castillo","CIN","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Jon Gray","COL","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Scott Oberg","COL","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Trevor Story","COL","SS","$555,000","1 (2018)","$555,000","$555,000",2011
"Tyler Anderson","COL","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Trevor Hildenberger","MIN","RP","$555,000","1 (2018)","$555,000","$555,000",2011
"Lucas Giolito","CWS","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Reynaldo Lopez","CWS","SP","$555,000","1 (2018)","$555,000","$555,000",2011
"Yoan Moncada","CWS","2B","$555,000","1 (2018)","$555,000","$555,000",2011
"Buck Farmer","DET","RP","$554,800","1 (2018)","$554,800","$554,800",2011
"Sam Tuivailala","STL","RP","$554,600","1 (2018)","$554,600","$554,600",2011
"Derek Fisher","HOU","OF","$554,400","1 (2018)","$554,400","$554,400",2011
"Oliver Drake","MIL","RP","$554,300","1 (2018)","$554,300","$554,300",2011
"Jakob Junis","KC","SP","$554,250","1 (2018)","$554,250","$554,250",2011
"Edubray Ramos","PHI","RP","$554,000","1 (2018)","$554,000","$554,000",2011
"Marco Hernandez","BOS","SS","$554,000","1 (2018)","$554,000","$554,000",2011
"James Pazos","SEA","RP","$553,900","1 (2018)","$553,900","$553,900",2011
"Brian Goodwin","WSH","OF","$553,900","1 (2018)","$553,900","$553,900",2011
"Jonathan Holder","NYY","RP","$553,850","1 (2018)","$553,850","$553,850",2011
"Hunter Renfroe","SD","OF","$553,800","1 (2018)","$553,800","$553,800",2011
"Dixon Machado","DET","2B","$553,600","1 (2018)","$553,600","$553,600",2011
"Mike Wright Jr.","BAL","SP","$553,500","1 (2018)","$553,500","$553,500",2011
"Paul Sewald","NYM","RP","$553,250","1 (2018)","$553,250","$553,250",2011
"Austin Hedges","SD","C","$553,100","1 (2018)","$553,100","$553,100",2011
"Miguel Castro","BAL","RP","$553,000","1 (2018)","$553,000","$553,000",2011
"Nick Williams","PHI","OF","$553,000","1 (2018)","$553,000","$553,000",2011
"Mallex Smith","TB","OF","$553,000","1 (2018)","$553,000","$553,000",2011
"Nicky Delmonico","CWS","OF","$553,000","1 (2018)","$553,000","$553,000",2011
"Bryan Mitchell","SD","SP","$552,800","1 (2018)","$552,800","$552,800",2011
"Matt Strahm","SD","SP","$552,700","1 (2018)","$552,700","$552,700",2011
"Chris Stratton","SF","SP","$552,500","1 (2018)","$552,500","$552,500",2011
"Rhys Hoskins","PHI","OF","$552,500","1 (2018)","$552,500","$552,500",2011
"Rob Refsnyder","TB","2B","$552,500","1 (2018)","$552,500","$552,500",2011
"Burch Smith","KC","RP","$552,450","1 (2018)","$552,450","$552,450",2011
"Jose Leclerc","TEX","RP","$552,300","1 (2018)","$552,300","$552,300",2011
"Dalton Pompey","TOR","OF","$552,000","1 (2018)","$552,000","$552,000",2011
"Austin Maddox","BOS","RP","$552,000","1 (2018)","$552,000","$552,000",2011
"Daniel Stumpf","DET","RP","$552,000","1 (2018)","$552,000","$552,000",2011
"Adam Engel","CWS","OF","$552,000","1 (2018)","$552,000","$552,000",2011
"Carson Fulmer","CWS","SP","$552,000","1 (2018)","$552,000","$552,000",2011
"Koda Glover","WSH","RP","$551,700","1 (2018)","$551,700","$551,700",2011
"Alex Dickerson","SD","OF","$551,600","1 (2018)","$551,600","$551,600",2011
"Alex Meyer","LAA","SP","$551,500","1 (2018)","$551,500","$551,500",2011
"Drew VerHagen","DET","RP","$551,400","1 (2018)","$551,400","$551,400",2011
"John Hicks","DET","C","$551,300","1 (2018)","$551,300","$551,300",2011
"Tyler Wade","NYY","OF","$551,300","1 (2018)","$551,300","$551,300",2011
"Bradley Zimmer","CLE","OF","$551,200","1 (2018)","$551,200","$551,200",2011
"Keynan Middleton","LAA","RP","$551,000","1 (2018)","$551,000","$551,000",2011
"Nick Pivetta","PHI","SP","$551,000","1 (2018)","$551,000","$551,000",2011
"Luke Weaver","STL","SP","$550,800","1 (2018)","$550,800","$550,800",2011
"Jett Bandy","MIL","C","$550,700","1 (2018)","$550,700","$550,700",2011
"Warwick Saupold","DET","RP","$550,400","1 (2018)","$550,400","$550,400",2011
"Marco Gonzales","SEA","SP","$550,300","1 (2018)","$550,300","$550,300",2011
"Austin Pruitt","TB","RP","$550,200","1 (2018)","$550,200","$550,200",2011
"J.D. Davis","HOU","3B","$550,100","1 (2018)","$550,100","$550,100",2011
"Brandon Woodruff","MIL","SP","$550,100","1 (2018)","$550,100","$550,100",2011
"Carlos Asuaje","SD","2B","$550,100","1 (2018)","$550,100","$550,100",2011
"Andrew Triggs","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Bruce Maxwell","OAK","C","$550,000","1 (2018)","$550,000","$550,000",2011
"Chad Pinder","OAK","SS","$550,000","1 (2018)","$550,000","$550,000",2011
"Daniel Coulombe","OAK","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"Jharel Cotton","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Sean Manaea","OAK","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"J.T. Chargois","LAD","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"Julio Urias","LAD","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Wilmer Font","LAD","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"Roberto E Gomez","SF","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"Ben Lively","PHI","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Colin Moran","PIT","3B","$550,000","1 (2018)","$550,000","$550,000",2011
"Antonio Senzatela","COL","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"Carlos Estevez","COL","RP","$550,000","1 (2018)","$550,000","$550,000",2011
"German Marquez","COL","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Kyle Freeland","COL","SP","$550,000","1 (2018)","$550,000","$550,000",2011
"Pat Valaika","COL","SS","$550,000","1 (2018)","$550,000","$550,000",2011
"Tony Wolters","COL","C","$550,000","1 (2018)","$550,000","$550,000",2011
"Dan Altavilla","SEA","RP","$549,900","1 (2018)","$549,900","$549,900",2011
"Jose Alvarado","TB","RP","$549,800","1 (2018)","$549,800","$549,800",2011
"Mark Leiter","PHI","RP","$549,500","1 (2018)","$549,500","$549,500",2011
"JaCoby Jones","DET","OF","$549,400","1 (2018)","$549,400","$549,400",2011
"Gabriel Ynoa","BAL","SP","$549,000","1 (2018)","$549,000","$549,000",2011
"Jake Thompson","PHI","RP","$549,000","1 (2018)","$549,000","$549,000",2011
"Aaron Bummer","CWS","RP","$549,000","1 (2018)","$549,000","$549,000",2011
"Amed Rosario","NYM","SS","$548,940","1 (2018)","$548,940","$548,940",2011
"Johnny Barbato","DET","RP","$548,600","1 (2018)","$548,600","$548,600",2011
"Noe Ramirez","LAA","RP","$548,500","1 (2018)","$548,500","$548,500",2011
"Allen Cordoba","SD","2B","$548,500","1 (2018)","$548,500","$548,500",2011
"Christian Villanueva","SD","3B","$548,500","1 (2018)","$548,500","$548,500",2011
"Giovanny Urshela","CLE","3B","$548,300","1 (2018)","$548,300","$548,300",2011
"Tyler Olson","CLE","RP","$548,300","1 (2018)","$548,300","$548,300",2011
"Daniel Robertson","TB","SS","$548,300","1 (2018)","$548,300","$548,300",2011
"Jeimer Candelario","DET","3B","$548,300","1 (2018)","$548,300","$548,300",2011
"Andrew Kittredge","TB","RP","$548,100","1 (2018)","$548,100","$548,100",2011
"Andrew Knapp","PHI","C","$548,000","1 (2018)","$548,000","$548,000",2011
"Hoby Milner","PHI","RP","$548,000","1 (2018)","$548,000","$548,000",2011
"Brian Johnson","BOS","SP","$548,000","1 (2018)","$548,000","$548,000",2011
"Drew Robinson","TEX","OF","$547,990","1 (2018)","$547,990","$547,990",2011
"Erik Gonzalez","CLE","SS","$547,800","1 (2018)","$547,800","$547,800",2011
"Gift Ngoepe","TOR","2B","$547,600","1 (2018)","$547,600","$547,600",2011
"Boog Powell","OAK","OF","$547,500","1 (2018)","$547,500","$547,500",2011
"Daniel Gossett","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2011
"Daniel Mengden","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2011
"Emilio Pagan","OAK","RP","$547,500","1 (2018)","$547,500","$547,500",2011
"Matt Chapman","OAK","3B","$547,500","1 (2018)","$547,500","$547,500",2011
"Matt Olson","OAK","1B","$547,500","1 (2018)","$547,500","$547,500",2011
"Paul Blackburn","OAK","SP","$547,500","1 (2018)","$547,500","$547,500",2011
"Victor Caratini","CHC","C","$547,500","1 (2018)","$547,500","$547,500",2011
"Kyle Farmer","LAD","C","$547,500","1 (2018)","$547,500","$547,500",2011
"Amir Garrett","CIN","SP","$547,500","1 (2018)","$547,500","$547,500",2011
"Austin Brice","CIN","RP","$547,500","1 (2018)","$547,500","$547,500",2011
"Cody Reed","CIN","RP","$547,500","1 (2018)","$547,500","$547,500",2011
"Mitch Garver","MIN","C","$547,500","1 (2018)","$547,500","$547,500",2011
"Joe Jimenez","DET","RP","$547,200","1 (2018)","$547,200","$547,200",2011
"Raul Mondesi","KC","2B","$547,125","1 (2018)","$547,125","$547,125",2011
"Jorge Alfaro","PHI","C","$547,000","1 (2018)","$547,000","$547,000",2011
"Ricardo Rodriguez","TEX","RP","$547,000","1 (2018)","$547,000","$547,000",2011
"Hector Velazquez","BOS","SP","$547,000","1 (2018)","$547,000","$547,000",2011
"Jeff Hoffman","COL","SP","$547,000","1 (2018)","$547,000","$547,000",2011
"Mike Tauchman","COL","OF","$547,000","1 (2018)","$547,000","$547,000",2011
"Ryan McMahon","COL","1B","$547,000","1 (2018)","$547,000","$547,000",2011
"Kyle McGrath","SD","RP","$546,900","1 (2018)","$546,900","$546,900",2011
"Joey Wendle","TB","2B","$546,900","1 (2018)","$546,900","$546,900",2011
"Dominic Smith","NYM","1B","$546,800","1 (2018)","$546,800","$546,800",2011
"Eric Skoglund","KC","SP","$546,625","1 (2018)","$546,625","$546,625",2011
"Anthony Santander","BAL","OF","$546,500","1 (2018)","$546,500","$546,500",2011
"Chance Sisco","BAL","C","$546,500","1 (2018)","$546,500","$546,500",2011
"Franchy Cordero","SD","OF","$546,500","1 (2018)","$546,500","$546,500",2011
"Cam Gallagher","KC","C","$546,400","1 (2018)","$546,400","$546,400",2011
"Bubba Starling","KC","OF","$546,200","1 (2018)","$546,200","$546,200",2011
"Casey Lawrence","SEA","RP","$546,000","1 (2018)","$546,000","$546,000",2011
"Raudy Read","WSH","C","$546,000","1 (2018)","$546,000","$546,000",2011
"Clayton Blackburn","TEX","SP","$546,000","1 (2018)","$546,000","$546,000",2011
"Ronald Herrera","TEX","SP","$546,000","1 (2018)","$546,000","$546,000",2011
"Ryan Merritt","CLE","RP","$545,800","1 (2018)","$545,800","$545,800",2011
"Daniel Vogelbach","SEA","1B","$545,700","1 (2018)","$545,700","$545,700",2011
"Mike Marjama","SEA","C","$545,700","1 (2018)","$545,700","$545,700",2011
"Jacob Rhame","NYM","RP","$545,650","1 (2018)","$545,650","$545,650",2011
"Alex Reyes","STL","SP","$545,600","1 (2018)","$545,600","$545,600",2011
"Jose De Leon","TB","RP","$545,600","1 (2018)","$545,600","$545,600",2011
"Reyes Moronta","SF","RP","$545,500","1 (2018)","$545,500","$545,500",2011
"J.P. Crawford","PHI","SS","$545,500","1 (2018)","$545,500","$545,500",2011
"Victor Arano","PHI","RP","$545,500","1 (2018)","$545,500","$545,500",2011
"Anthony Alford","TOR","OF","$545,400","1 (2018)","$545,400","$545,400",2011
"Luke Bard","LAA","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Brady Rodgers","HOU","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Dean Deetz","HOU","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Renato Nunez","OAK","OF","$545,000","1 (2018)","$545,000","$545,000",2011
"Thomas Pannone","TOR","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Jack Flaherty","STL","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Jordan Hicks","STL","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Mike Mayers","STL","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Yairo Munoz","STL","SS","$545,000","1 (2018)","$545,000","$545,000",2011
"Julian Fernandez","SF","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Pierce Johnson","SF","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Cody Anderson","CLE","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Brian Anderson","MIA","3B","$545,000","1 (2018)","$545,000","$545,000",2011
"Chad Wallach","MIA","C","$545,000","1 (2018)","$545,000","$545,000",2011
"Garrett Cooper","MIA","1B","$545,000","1 (2018)","$545,000","$545,000",2011
"JT Riddle","MIA","SS","$545,000","1 (2018)","$545,000","$545,000",2011
"Lewis Brinson","MIA","OF","$545,000","1 (2018)","$545,000","$545,000",2011
"Tayron Guerrero","MIA","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Tomas Telis","MIA","C","$545,000","1 (2018)","$545,000","$545,000",2011
"Nestor Cortes","BAL","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Pedro Araujo","BAL","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Adam Cimber","SD","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Nick Burdi","PIT","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Nik Turley","PIT","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Carlos Tocci","TEX","OF","$545,000","1 (2018)","$545,000","$545,000",2011
"Joe Palumbo","TEX","SP","$545,000","1 (2018)","$545,000","$545,000",2011
"Ryan Yarbrough","TB","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Yonny Chirinos","TB","RP","$545,000","1 (2018)","$545,000","$545,000",2011
"Bobby Poyner","BOS","RP","$545,000","1 (2018)","$545,000","$545,000",2011
